Comments_Field,Comment_Attr_val,Comment_cleaned_text,Comment_Fuzzy_wuzzy,Comment_Score,
Comment,"0.5-3mm generally euhedral fspar & <5mm fsph clasts chloritic wisps & patches accentuate foliation where present trace of thin 1-3mm generally Fe oxidised ca veins 68m fsph & qzph clasts 70m <6cm randomly oriented felsic clasts 73-83.8m m grained","0 5 3mm generally euhedral f spar    5mm fsph clasts  chloritic wisps   patches accentuate foliation where present  trace of thin generally fe oxidised ca veins  68m fsph   qzph clasts  70m  6cm randomly oriented felsic clasts  73 83 8m m grained",patches,100,
Comment,"0.5-4mm well preserved fspar minor felsic clasts","0 5 4mm well preserved f spar  minor felsic clasts",felsic,100,
Comment,"0.5cm SC2 type quartz but looks like sediment 502-502.6m quartz vein on contact","0 5cm sc2 type quartz but looks like sediment  502 502 6m quartz vein on contact",vein,100,
Comment,<0.5 g/t Au, 0 5 g t au,Other,42,
Comment,0.5% interstitial Sp with Py,0 5  interstitial sp with py,Other,58,
Comment,0.5m cover.,0 5m cover ,cover,101,
Comment,"<0.5m cover. o/c of tmmy close to  collar n-s strike vert."," 0 5m cover  o c of tmmy close to collar n s strike  vert ",cover,100,
Comment,0.5mm abundant Si spots,0 5mm abundant si spots,spots,101,
Comment,0.5m of cgv.,0 5m of cgv ,Other,31,
Comment,<0.5M OF CGV., 0 5m of cgv ,Other,31,
Comment,0.5m of cover.,0 5m of cover ,cover,101,
Comment,<0.5M OF COVER., 0 5m of cover ,cover,101,
Comment,<0.5M OF COVER._, 0 5m of cover  ,cover,101,
Comment,"<0.5M OF COVER. RSP L GN/GY FGN FOM M"," 0 5m of cover  rsp  l gn gy  fgn fom  m",cover,100,
Comment,"0.5m of cover rsp l kh col m","0 5m of cover rsp  l kh col  m",cover,100,
Comment,<0.5M OF CSA., 0 5m of csa ,Other,40,
Comment,0.5m of trans. cover.,0 5m of trans  cover ,cover,101,
Comment,<0.5M OF TRANS. COVER., 0 5m of trans  cover ,cover,101,
Comment,0.5M OF TRANS. COVER,0 5m of trans  cover,cover,101,
Comment,0.5M OF TRANS. COVER.,0 5m of trans  cover ,cover,101,
Comment,"0.5m of trans. cover. rsp gn/kh col.","0 5m of trans  cover  rsp  gn kh col ",cover,100,
Comment,"0.5m POST RHY ON TOP CONTACT QTZ POOR","0 5m post rhy on top contact  qtz poor",Other,67,
Comment,"0.5m shearzone at contact euhedral 2-5mm feldspar laths","0 5m shearzone at contact  euhedral 2 5mm feldspar laths",Other,67,
Comment,0.5m transported cover.,0 5m transported cover ,cover,101,
Comment,0.5m transported. Gn rsp-uv,0 5m transported  gn rsp uv,colluvium,100,
Comment,"0.5m transported. rsr-m gb fgn mas mkb.","0 5m transported  rsr m gb  fgn  mas mkb ",colluvium,100,
Comment,0.5 trans cover.,0 5 trans cover ,cover,101,
Comment,"0.7M CORE LOSS BROKEN CORE","0 7m core loss  broken core",Other,47,
Comment,0-91M BLADE EOH,0 91m blade eoh,Other,46,
Comment,1, ,aeolian_deposit,101,
Comment,100mm band of hyaloclastite ? near base of unit,100mm band of hyaloclastite near base of unit,hyaloclastite,100,
Comment,100mm chilled margins,100mm chilled margins,Other,43,
Comment,100mm QZ VEIN AT UPPER CONTACT,100mm qz vein at upper contact,vein,100,
Comment,"<100mm siliceous & <50mm qz-rich clasts clt-qz-se altered 588-588.3m siliceous cherty zones"," 100mm siliceous    50mm qz rich clasts  clt qz se altered  588 588 3m siliceous cherty zones",Other,78,
Comment,"100s OF BREAKS PER RUN BROKEN ZONE OF SLST AND DLT LITHO CONTACT DIFF TO DEFINE","100s of breaks per run  broken zone of slst and dlt  litho contact diff to define",Other,67,
Comment,100 to 300 mm strong to moderately Clt altered chilled margins,100 to 300 mm strong to moderately clt altered chilled margins,Other,34,
Comment,"10-20mm clt altered clasts/patches 1mm QPH increased qz-ca veining near base of interval","10 20mm clt altered clasts patches  1mm qph  increased qz ca veining near base of interval",patches,100,
Comment,"10.2M CORE LOSS OPEN VUGS","10 2m core loss  open vugs",Other,44,
Comment,"1030.7-1031.15 itv dacite amyg? In part 1031.15- f-mg dolerite chilled throughout dis euhedral pyr<2mm irregular contact with DAC downhole","1030 7 1031 15 itv dacite amyg in part  1031 15  f mg dolerite chilled throughout  dis euhedral pyr 2mm  irregular contact with dac downhole",dacite,100,
Comment,"10-60mm clasts clasts boundaries diffuse alteration?","10 60mm clasts  clasts boundaries diffuse ",Other,43,
Comment,107.8-108.4ax,107 8 108 4ax,Other,25,
Comment,"1081.5-1083.4 FSPH-QZPH dacite dis clots sphal common subrdd qtz<2mm clots mas pyr<30mm. 1083.4-VBX subrdd SI peb<30mm str patchy CLT after clasts rare & small pebs down hole larger more common sphal clots","1081 5 1083 4 fsph qzph dacite  dis clots sphal  common subrdd qtz 2mm  clots mas pyr 30mm  1083 4 vbx subrdd si peb 30mm  str patchy clt after clasts rare   small pebs down hole  larger more common sphal clots",dacite,100,
Comment,1088.6-1089 Rhyolite,1088 6 1089 rhyolite,rhyolite,101,
Comment,10CM BX AT LOWER CONTACT,10cm bx at lower contact,Other,68,
Comment,10cm DLT @ 284.6m strong Se altn at top contact,10cm dlt   284 6m strong se alt n at top contact,Other,67,
Comment,"<10cmm rounded QZPH and FSPH clasts becoming less distinct downhole blebs of biotite"," 10cmm rounded qzph and fsph clasts becoming less distinct downhole  blebs of biotite",Other,36,
Comment,"10cm of broken core from 995.3-995.4m fault?","10cm of broken core from 995 3 995 4m  fault",fault,100,
Comment,10cm POST DLT @ 53.6m WEATERED SULPHIDES IN PITS AND JOINTS,10cm post dlt   53 6m weatered sulphides in pits and joints,Other,36,
Comment,"10cm QV @ 607.1m 30CM QV @ 610.5m BROKEN CORE 615.3-617m 30cm FOLIATED SHEAR @ 617.7m","10cm qv   607 1m  30cm qv   610 5m  broken core 615 3 617m  30cm foliated shear   617 7m",Other,28,
Comment,"10cm QV @ 635.9m FOM 650-660m CONTINUATION OF DLT FROM 579.7m","10cm qv   635 9m fom 650 660m  continuation of dlt from 579 7m",Other,32,
Comment,10cm QVN at 1161.2m,10cm qvn at 1161 2m,Other,31,
Comment,10cm QV on contact,10cm qv on contact,Other,67,
Comment,"10 cm zone of str fol intense se alt surrounded by wispy clt alt fol dac with much carb vn // fol ankerite? Or lim stain in some larger carb vn.","10 cm zone of str fol  intense se alt surrounded by wispy clt alt fol dac with much carb vn fol ankerite or lim stain in some larger carb vn ",Other,80,
Comment,10% CONTAM GOE FALL IN,10  contam goe fall in,fall,100,
Comment,10 % lithic frags BIF,10   lithic frags bif,banded_iron_formation,101,
Comment,10m east o/c of csz myl[15m thick],10m east o c of csz myl,Other,38,
Comment,"10M FROM COLLAR MDO 5M THICK THEN BACK TO MKB.","10m from collar mdo  5m thick  then back to mkb ",Other,37,
Comment,10 MINS FOAMING COLLAR,10 mins foaming collar,Other,48,
Comment,"<10mm elong fol // mostly ghost fs non-ghost fs are wkly ca alt euh sometimes in cruciform intrgrwth assoc wk perv si alt & more abund qzca vns  non-ghost fs form vn or fract selv in part 1014.9 & 1019.3-1019.5 3mm ca vn with wk lim stains - ?aqfr"," 10mm elong fol mostly ghost fs  non ghost fs are wkly ca alt  euh  sometimes in cruciform intrgrwth  assoc wk perv si alt   more abund qzca vns   1014 9   1019 3 1019 5 3mm ca vn with wk lim stains   aqfr",Other,40,
Comment,"10mm FPH 2-3mm qtz","10mm fph  2 3mm qtz",Other,32,
Comment,"10mm QVN 20mm crosscutting QBVN","10mm qvn  20mm crosscutting qbvn",Other,36,
Comment,"10mm SI DAC CLASTS IN CLT MATRIX STRONGLY SHEARED WITH ASSOC CARB ALT","10mm si dac clasts in clt matrix  strongly sheared with assoc carb alt",Other,40,
Comment,10m of transported cover.,10m of transported cover ,cover,101,
Comment,10% MT CONTAM,10  mt contam,Other,54,
Comment,10%MT CONTAM,10 mt contam,Other,54,
Comment,10% Pis,10  pis,Other,43,
Comment,10%PIS,10 pis,Other,43,
Comment,10% PIS,10  pis,Other,43,
Comment,"10%PIS 5% VIT GOE","10 pis  5  vit goe",Other,48,
Comment,"10%PISOL SMALLER GNS","10 pisol  smaller gns",Other,46,
Comment,10% QZ,10  qz,Other,36,
Comment,10% ROCK CHIP,10  rock chip,rock,100,
Comment,10% SE ALTERATION,10  se alteration,Other,59,
Comment,10%SO,10 so,Other,44,
Comment,10% SO,10  so,Other,44,
Comment,10% Sulphides,10  sulphides,Other,80,
Comment,10% VIT GOE,10  vit goe,Other,52,
Comment,10% vn qtz,10  vn qtz,Other,43,
Comment,"1-100mm siliceous porphyritic ?dac clasts & minor chloritic fsph clasts minor bands of mg bx clasts often with ca infill rounded edges on many clasts indicate transport","1 100mm siliceous porphyritic dac clasts   minor chloritic fsph clasts  minor bands of mg bx clasts often with ca infill  rounded edges on many clasts indicate transport",Other,78,
Comment,"1-10mm clear variably fractured QE fg gmass","1 10mm clear variably fractured qe  fg g mass",Other,38,
Comment,"1-10mm qz in a qz-se gmass inc clt alteration downhole more intense se altered zones","1 10mm qz in a qz se g mass  inc clt alteration downhole  more intense se altered zones",Other,36,
Comment,1-12mm locally well pres euhedral feld Ca alt I/p; 1-4mm qtz phenos as before; rare zoned feld; wk fol I/p,1 12mm locally well pres euhedral feld ca alt i p  1 4mm qtz phenos as before  rare zoned feld  wk fol i p,Other,33,
Comment,11m cover,11m cover,cover,101,
Comment,11M OF TRANS. COVER.,11m of trans  cover ,cover,101,
Comment,"<120mm fsph si altered clasts mod-strongly foliated wispy clt/biot altered gmass some fractured clasts give a pseudobx appearance clt as fracture infill 1008.5 ca/mgt vein assoc with minor shear"," 120mm fsph si altered clasts  mod strongly foliated wispy clt biot altered g mass  some fractured clasts give a pseudobx appearance  clt as fracture infill  1008 5 ca mgt vein assoc with minor shear",vein,100,
Comment,"<120mm subangular FSPH clasts in a FSPH groundmass fspar <5mm minor limonite on fractures core soft and broken in part"," 120mm subangular fsph clasts in a fsph groundmass  f spar  5mm  minor limonite on fractures  core soft and broken in part",Other,80,
Comment,121 - 125 K468 DUPLICATE,121   125 k468 duplicate,Other,44,
Comment,"1270.1 peperite in dacite lava 1270.6 flat felsic clasts polymict breccia dacite lava with amygdales","1270 1 peperite in dacite lava  1270 6 flat felsic clasts polymict breccia  dacite lava with amygdales",breccia,100,
Comment,1/2 CH IS JA FOR ALL BMSC,1 2 ch is ja for all bmsc,Other,39,
Comment,1-2CM DARK SUBROUNDED PISOLITHS,1 2cm dark subrounded pisoliths,Other,47,
Comment,1-2cm felsic clasts; qtz<0.5mm,1 2cm felsic clasts  qtz 0 5mm,felsic,100,
Comment,1-2% Dark Sulphides,1 2  dark sulphides,Other,62,
Comment,"<1-2mm blue-gy qz and partly Si altered pumice fragments. CCP/Po associated with a Qz/Ca vein intense clt altered band at lower contact"," 1 2mm blue gy qz and partly si altered pumice fragments  ccp po associated with a qz ca vein  intense clt altered band at lower contact",pumice,100,
Comment,"1-2mm clt altered flecks after fspar? <1mm qz incresed qz-ca veining downhole","1 2mm clt altered flecks after f spar  1mm qz  incresed qz ca veining downhole",Other,38,
Comment,"<12mm elongate foln parallel fspar <7mm subrounded qz foln defined by clt altered groundmass"," 12mm elongate foln parallel f spar   7mm subrounded qz  foln defined by clt altered groundmass",Other,34,
Comment,1-2mm feldspar laths,1 2mm feldspar laths,Other,57,
Comment,1-2mm FPH,1 2mm fph,Other,38,
Comment,1-2mm frilly qtz,1 2mm frilly qtz,Other,44,
Comment,"1-2mm frilly qtz minor DAC and SDBX horizons","1 2mm frilly qtz  minor dac and sdbx horizons",Other,36,
Comment,"1-2mm fspar qz-ca vein network","1 2mm f spar  qz ca vein network",vein,100,
Comment,"<12mm ghosted fspar elongate foln parallel wispy foln parallel clt si selvedge on some minor qzclt filled fractures"," 12mm ghosted f spar  elongate foln parallel  wispy foln parallel clt  si selvedge on some minor qzclt filled fractures",Other,33,
Comment,"1-2mm IRREGULARLY SHAPED CARB ALT AMYGDALES? SHARP BRECCIATED TOP CONTACT DIFFUSE BASAL CONTACT","1 2mm irregularly shaped carb alt amygdales sharp brecciated top contact  diffuse basal contact",Other,67,
Comment,1-2mm occaisional quartz crystals,1 2mm occaisional quartz crystals,vein,100,
Comment,1-2mm patchy alteration spotting,1 2mm patchy alteration spotting,Other,42,
Comment,"<1-2mm pum frags occas distinct bands of ca alt spots minor dissem to stringer sp/py"," 1 2mm pum frags  occas distinct bands of ca alt spots  minor dissem to stringer sp py",spots,100,
Comment,1-2mm qtz,1 2mm qtz,Other,40,
Comment,1-2mm QTZ,1 2mm qtz,Other,40,
Comment,1-2mm QTZ 5-10mm WHITE CLASTS POSS PUMICE??,1 2mm qtz 5 10mm white clasts poss pumice,pumice,101,
Comment,"1-2MM QTZ PHENOCRYSTS FELD INCREASING DOWNHOLE WITH ALTERATION HALOS","1 2mm qtz phenocrysts  feld increasing downhole with alteration halos",Other,40,
Comment,1-2mm qtz rich,1 2mm qtz rich,Other,48,
Comment,"1-2mm QTZ RICH PMBX CLT ALT PUM","1 2mm qtz rich pmbx  clt alt pum",Other,43,
Comment,1-2mm QTZ SPARSE,1 2mm qtz sparse,Other,53,
Comment,"1-2mm QTZ WHITE AND BLACK MINOR QBVN","1 2mm qtz white and black  minor qbvn",Other,56,
Comment,1-2mm Quartz + carbonate veins,1 2mm quartz + carbonate veins,vein,101,
Comment,1-2mm quartz grains,1 2mm quartz grains,vein,100,
Comment,1-2mm quartz sub rounded foliated dac?0,1 2mm quartz sub rounded foliated dac0,vein,100,
Comment,"1-2mm qz but less qz than previous intervals cubic py","1 2mm qz but less qz than previous intervals  cubic py",Other,34,
Comment,"<1-2mm qz dissem to patchy sulphides throughout though mgt predom present at top and base of interval more pyritic"," 1 2mm qz  dissem to patchy sulphides throughout though mgt predom present at top and base of interval more pyritic",Other,25,
Comment,1-2mm rounded quartz grains withiin thin bx horizons,1 2mm rounded quartz grains withiin thin bx horizons,vein,100,
Comment,1-2mm SI SPOTS,1 2mm si spots,spots,101,
Comment,"1-2mm SI SPOTS VERY BROKEN CORE SOME PUG","1 2mm si spots  very broken core some pug",spots,100,
Comment,1-2mm SUBROUNDED QTZ,1 2mm subrounded qtz,Other,44,
Comment,"<1-2mm sub to euhedral fspar pervasive si alteration with minor clt altered flecks and qz/ca/clt veins"," 1 2mm sub to euhedral f spar  pervasive si alteration with minor clt altered flecks and qz ca clt veins",vein,100,
Comment,"1-2mm THIN PUMICE CLASTS SMALL REGULAR QTZ FROM ~810m","1 2mm thin pumice clasts  small regular qtz from ~810m",pumice,100,
Comment,1-2mm WHITE QTZ,1 2mm white qtz,Other,50,
Comment,"1-2mm White Wisps could be former feldspars? Post dac??","1 2mm white wisps  could be former feldspars post dac",Other,45,
Comment,12M OF COVER.,12m of cover ,cover,101,
Comment,1-2% PY,1 2  py,Other,33,
Comment,"1-2% PY AS.","1 2  py  as ",Other,40,
Comment,"1-2% PY AS. Logs unreadable may say phyllite?","1 2  py  as  logs unreadable  may say phyllite",phyllite,100,
Comment,"1-2% PY poss Moly?","1 2  py  poss moly",Other,41,
Comment,"1-2% PY Strongly altered","1 2  py  strongly altered",Other,51,
Comment,131 - 136 K364 DUPLICATE,131   136 k364 duplicate,Other,44,
Comment,13/14m. s qz vn.,13 14m  s qz vn ,Other,36,
Comment,"1351.3-1351.7m vcg fos ply mtxs bx mainly angular clt altered clasts & minor siliceous clasts in a biotite altered gmass","1351 3 1351 7m vcg  fos  ply  mtxs bx  mainly angular clt altered clasts   minor siliceous clasts in a biotite altered g mass",Other,78,
Comment,13m cover,13m cover,cover,101,
Comment,"1-3m CTC yellow green ? Epidote alteration associated with ca veins","1 3m ctc  yellow green alteration associated with ca veins",vein,100,
Comment,1-3mm ABUNDANT BLUE QTZ,1 3mm abundant blue qtz,Other,46,
Comment,1-3mm angular blue qtz,1 3mm angular blue qtz,Other,43,
Comment,1-3mm Carbonate veinlets,1 3mm carbonate veinlets,carbonate,100,
Comment,1-3mm CLEAR BLUE QTZ SUBROUNDED PUMICE 3-6mm,1 3mm clear blue qtz subrounded pumice 3 6mm,pumice,100,
Comment,1-3mm qtz,1 3mm qtz,Other,40,
Comment,1-3mm Qtz,1 3mm qtz,Other,40,
Comment,1-3mm QTZ,1 3mm qtz,Other,40,
Comment,1-3MM QTZ,1 3mm qtz,Other,40,
Comment,1-3MM QTZ CLEAR TO BLUE,1 3mm qtz clear to blue,Other,40,
Comment,"1-3mm QTZ COMMON 3-4mm PUMICE CLASTS FAULTING CONTINUES","1 3mm qtz common 3 4mm pumice clasts  faulting continues",pumice,100,
Comment,1-3MM QTZ RICH,1 3mm qtz rich,Other,48,
Comment,1-3mm SI SPOTS,1 3mm si spots,spots,101,
Comment,1-3mm WHITE RIMMED QTZ 1mm PUMICE - INTERLAYERED GG1 AND GG4?,1 3mm white rimmed qtz 1mm pumice   interlayered gg1 and gg4,pumice,100,
Comment,145.9 A=45 B=120 xcutting qtz vn flt,145 9 a=45 b=120 xcutting qtz vn flt,Other,33,
Comment,1473.3 VEIN OF UNKNOWN MINERAL,1473 3 vein of unknown mineral,vein,100,
Comment,"<150-200mm subang-subrounded Si/Se FSPH clasts <1mm Qz and <10mm angular clt altered clasts. <5mm fspar in matrix."," 150 200mm subang subrounded si se fsph clasts   1mm qz and  10mm angular clt altered clasts   5mm f spar in matrix ",Other,29,
Comment,150m app. like a m/m sbs.,150m app  like a m m sbs ,Other,40,
Comment,150mm BAND OF AMYGDALOIDAL LAVA,150mm band of amygdaloidal lava,Other,40,
Comment,150mm QZ VEIN ZONE AT BASAL CONTACT,150mm qz vein zone at basal contact,vein,100,
Comment,"<150mm subang-subrounded Si/Se altered FSPH clasts in a clt altered groundmass with patchy <4mm fspar and <2mm subrounded Qz weakly foliated top"," 150mm subang subrounded si se altered fsph clasts in a clt altered groundmass with patchy  4mm f spar and  2mm subrounded qz  weakly foliated top",Other,40,
Comment,15-20% <5mm LATHS,15 20   5mm laths,Other,42,
Comment,"1546-1548m - broken zone fault gouge","1546 1548m   broken zone  fault gouge",fault,100,
Comment,"155.15 - 156.3 m partial HQ core where parent hole extended to establish a better lip on which to sit the NQ casing wedge partial NQ core from 152.8 - 153.7m","155 15   156 3 m partial hq core where parent hole extended to establish a better lip on which to sit the nq casing wedge  partial nq core from 152 8   153 7m",Other,27,
Comment,158-159 5% py,158 159 5  py,Other,24,
Comment,15cm to 1m QVN,15cm to 1m qvn,Other,37,
Comment,15% CSLT,15  cslt,Other,55,
Comment,"15% CY.  Fall in Hole reentered","15  cy  fall in  hole reentered",fall,100,
Comment,"1.5m CHILLED CONTACT LESS SHEARED SHEARING GIVES CORE DIRTY APEARANCE AND INCREASES CARB ALT","1 5m chilled contact less sheared  shearing gives core dirty apearance and increases carb alt",Other,67,
Comment,15mm long clt after pyroxene laths & Hm/Lcx plates,15mm long clt laths   hm lcx plates,Other,40,
Comment,1-5mm QE SHARP BUT IRREGULAR CONTACTS,1 5mm qe sharp but irregular contacts,Other,43,
Comment,1.5M OF TRANS COVER,1 5m of trans cover,cover,101,
Comment,<1.5M TRANS COVER., 1 5m trans cover ,cover,101,
Comment,%15  PIS, 15 pis,Other,43,
Comment,15%PIS,15 pis,Other,43,
Comment,15% PIS,15  pis,Other,43,
Comment,"1-5% PY Fuchsite","1 5  py  fuchsite",Other,55,
Comment,1-5% Sulphides,1 5  sulphides,Other,76,
Comment,15% transluscent QZ,15  transluscent qz,Other,50,
Comment,15% VIT GOE,15  vit goe,Other,52,
Comment,15% vn qtz,15  vn qtz,Other,43,
Comment,1623M BX HORIZ,1623m bx horiz,Other,38,
Comment,175.4-176.8 Tuffaceous shales,175 4 176 8 tuffaceous shales,tuffaceous-sediment,83,
Comment,1-7mm strained fspar phenocrysts,1 7mm strained f spar phenocrysts,Other,49,
Comment,18-21M AND 28-29M S QZ VN.,18 21m and 28 29m s qz vn ,Other,32,
Comment,185.5 0.01m qtz vein with 3 coarse match head sized gold specks A=67 B=340,185 5 0 01m qtz vein with 3 coarse match head sized gold specks a=67 b=340,vein,100,
Comment,1-8mm fspar phenocrysts some si altered and minor predom euhedral si-rich clasts,1 8mm f spar phenocrysts and minor predom euhedral si rich clasts,Other,38,
Comment,19-84M.-BLADE,19 84m  blade,Other,44,
Comment,19m qzpy vein,19m qzpy vein,vein,101,
Comment,1 and 2mm qtz,1 and 2mm qtz,Other,50,
Comment,1 and 2mm qtz rounded,1 and 2mm qtz rounded,Other,50,
Comment,1% BR MINERAL,1  br mineral,Other,56,
Comment,1% CCP in last metre,1  ccp in last metre,Other,54,
Comment,1cm PY BAND 332.8m,1cm py band 332 8m,Other,41,
Comment,1cm PY BAND AT 208.6m,1cm py band at 208 6m,Other,45,
Comment,"1CM PYRITE BAND AT TOP OF UNIT COMMON DIRT BANDS","1cm pyrite band at top of unit  common dirt bands",massive_sulphide,100,
Comment,1% CY Fall in.  LAM,1  cy fall in  lam,fall,100,
Comment,1% FUCHSITE CY,1  fuchsite cy,Other,60,
Comment,"1m brecciated zone from 712.6m soft sediment deformation throughout interval","1m brecciated zone from 712 6m  soft sediment deformation throughout interval",sediment,100,
Comment,<1m hdpn + cl-amph-schist, 1m hdpn + cl amph schist,schist,101,
Comment,<1m indurated hpn + soil, 1m indurated hpn + soil,soil,101,
Comment,"<1mm-2mm qz ghosted fspar phenocrysts clt altered biotite spots throughout"," 1mm 2mm qz   ghosted  f spar phenocrysts  clt altered biotite spots throughout",spots,100,
Comment,<1mm Ca alteration spots, 1mm ca alteration spots,spots,101,
Comment,"~1mm ca altered partly ghosted fspar becoming coarser ie. 3-4mm and better preserved uphole Se alteration associated with jts/fractures and a clt alteration selvedge gives a banded appearance occasional <1mm Qz","~1mm ca altered  partly ghosted f spar becoming coarser ie  3 4mm and better preserved uphole  se alteration associated with jts fractures and a clt alteration selvedge gives a banded appearance  occasional  1mm qz",Other,71,
Comment,1MM COMMON LEUCOXENE,1mm common leucoxene,Other,45,
Comment,"1MM COMMON LEUCOXENE BROKEN CORE 673-673.8M","1mm common leucoxene  broken core 673 673 8m",Other,43,
Comment,"1MM COMMON LEUCOXENE FOM FROM 838.5M","1mm common leucoxene  fom from 838 5m",Other,35,
Comment,"<1mm cubic py throughout zones of patchy clt alteration"," 1mm cubic py throughout  zones of patchy clt alteration",Other,39,
Comment,1MM FELDSPAR,1mm feldspar,Other,80,
Comment,1mm FELDSPARS,1mm feldspars,Other,56,
Comment,<1mm frilly qtz, 1mm frilly qtz,Other,44,
Comment,1mm fs,1mm fs,Other,47,
Comment,1mm LEUCOXENE,1mm leucoxene,Other,52,
Comment,1MM LEUCOXENE,1mm leucoxene,Other,52,
Comment,1mm PUMICE WEAKLY BEDDED,1mm pumice weakly bedded,pumice,100,
Comment,1mm QPH,1mm qph,Other,44,
Comment,<1mm qtz, 1mm qtz,Other,46,
Comment,1mm qtz,1mm qtz,Other,46,
Comment,<1mm Qtz, 1mm qtz,Other,46,
Comment,1mm QTZ,1mm qtz,Other,46,
Comment,1MM QTZ,1mm qtz,Other,46,
Comment,1MM QTZ AND FELDSPAR,1mm qtz and feldspar,Other,60,
Comment,1MM QTZ COMMON,1mm qtz common,Other,47,
Comment,1MM QTZ; gg1?,1mm qtz  gg1,Other,42,
Comment,"<1mm QTZ GHOSTED FPH SHARP LOWER CONTACT SHEARING 215.7-216m"," 1mm qtz  ghosted fph sharp lower contact  shearing 215 7 216m",Other,67,
Comment,<1mm QTZ IN SOME AREAS, 1mm qtz in some areas,Other,56,
Comment,1mm QTZ RICH 5mm PUMICE RICH,1mm qtz rich 5mm pumice rich,pumice,100,
Comment,"1mm QTZ WEATHERED SULPHIDE PITS","1mm qtz  weathered sulphide pits",massive_sulphide,100,
Comment,<1mm qz, 1mm qz,Other,36,
Comment,"<1mm Qz partly ca altered and ghosted fspar become less apparent as foliation intensity increases downhole strained fspar and clt altered clasts"," 1mm qz  partly ca altered and ghosted f spar become less apparent as foliation intensity increases downhole  strained f spar and clt altered clasts",Other,29,
Comment,1MM RARE BLUE QTZ,1mm rare blue qtz,Other,46,
Comment,"1mm subangular qtz WH subrounded-subangular siliceous clasts-pumice? Reverse graded. Elongate angular chloritic clasts.","1mm subangular qtz  wh subrounded subangular siliceous clasts pumice reverse graded  elongate angular chloritic clasts ",pumice,100,
Comment,"1mm-wide cemented brittle fault typical fault orientation","1mm wide cemented brittle fault  typical fault orientation",fault,100,
Comment,1m of alluvial cover.,1m of alluvial cover ,cover,101,
Comment,1M OF COLLUVIAL[BIF SCREE] COVER.,1m of colluvial cover ,cover,101,
